id,name,ownerAgencyName,successors,leadingBusinessCapability,businessCriticality,functionalFit,technicalFit,lifecycle:plan,lifecycle:active,lifecycle:endOfLife,timeTag,hostingTypeTag,majorInformationSystemsTag
efac65ec-3981-4414-857e-a07870b818e6,Meltwater Social Media Monitoring,Defense (Dept),,,businessOperational,adequate,adequate,,2018-10-11,,Invest,,
419cdb43-ffa9-46af-b750-f0ffc715ce36,Legislative Reconciliation,Budget & Finance (Dept) / Administrative and Research Office,,Government Wide Support / Financial Management / Accounting,businessOperational,insufficient,adequate,,2019-01-01,2023-01-01,Tolerate,@On Premise,
735e48c3-13e3-43fb-8989-6a07f37c91e4,Socrata Open Data Portal (data.hawaii.gov),Enterprise Technology Services / Technology Support Services Branch,OpenGov Open Data Portal (data.hawaii.gov),Customer/Citizen Relationships / Self Service,businessCritical,insufficient,adequate,,2019-01-01,2020-01-01,Tolerate,SaaS,
429596f4-a29e-40c4-a24d-d0842a756339,FAMIS Annual Rpt.,Accounting & General Services (Dept) / Accounting Division,,Government Wide Support / Financial Management / Financial Reporting,businessOperational,adequate,adequate,,2018-08-01,2023-01-01,Invest,@On Premise,
4527306f-a466-47ab-abbd-dcceda080499,FMS Modernization DOE,Education (Dept),,Government Wide Support / Financial Management / Comprehensive or Multi-Purpose FMS,missionCritical,excellent,excellent,2019-01-01,,,Invest,,Major Information Systems
eb6107e0-9b62-451e-9207-3bccaff62d2e,BUF-EUTF - Accounting System,Budget & Finance (Dept) / Employer-Union Health Trust Fund,,Government Wide Support / Financial Management / Accounting,missionCritical,adequate,adequate,,2014-01-01,,Invest,@On Premise,
09b3431d-c1c1-4bce-9be4-fdd9699e58c8,Recordation,Hawaiian Home Lands (Dept) / Homestead Services Division,,Government Wide Support / Property & Facilities,businessCritical,adequate,insufficient,,,,Migrate,@On Premise,
f9e4bae3-0ced-481f-9541-29d0ffbc2877,DAGS - SPO - WP - spo.hawaii.gov,Accounting & General Services (Dept) / State Procurement Office,,Customer/Citizen Relationships / Self Service,businessCritical,adequate,adequate,,2014-03-24,,Invest,Co-Located,
0ea96a50-02fb-4222-b60d-18528ae1c9f4,wpwiki.hawaii.gov,Enterprise Technology Services / Technology Support Services Branch,,Customer/Citizen Relationships / Self Service,businessOperational,adequate,excellent,,2014-02-14,,Invest,,
dfb342a3-a6ec-46df-8fbf-c623e30cb27c,Warrant Reconciliation,Accounting & General Services (Dept) / Accounting Division,,Government Wide Support / Financial Management / Comprehensive or Multi-Purpose FMS,,,,,2019-01-01,2023-01-01,missing data,@On Premise,
00594e09-8648-41e0-bbf7-c541185e00f1,KEIKI Modernization,Attorney General (Dept) / Child Support Enforcement Agency,,,missionCritical,excellent,excellent,2018-01-01,2022-12-01,,Invest,,
4068ec17-9298-4ed5-85b1-e623a27a20ee,Kofax Imaging Capture,Attorney General (Dept) / Child Support Enforcement Agency,,Government Wide Support / Information Technology / Document Management,missionCritical,insufficient,poor,,,,Migrate,@On Premise,
2d624d55-46d4-460d-bf89-0f5f0c2a5b8f,Inventory Management,Accounting & General Services (Dept),,Government Wide Support / Property & Facilities,businessOperational,insufficient,adequate,,2019-01-01,2023-01-01,Tolerate,@On Premise,
2392afb3-f5dc-40b5-9e29-161aa39de36e,FMS Legacy DOE,Education (Dept),FMS Modernization DOE,Government Wide Support / Financial Management / Comprehensive or Multi-Purpose FMS,missionCritical,insufficient,insufficient,,,2023-01-01,Migrate,@On Premise,Major Information Systems
cb10f9df-ab9d-4496-99f7-a25153c42a18,Interstate Benefit Internet,Labor and Industrial Relations (Dept) / Unemployment Insurance Division,,Department Budget Areas / Employment / Employment - Eligibility Determination,missionCritical,excellent,adequate,,2019-01-01,2023-01-01,Invest,@On Premise,
674ffd00-1ade-409a-91ae-4f5b04f4dfbc,Legacy APPX,Hawaiian Home Lands (Dept) / Administrative Services Office (ASO),,Government Wide Support / Financial Management,missionCritical,insufficient,insufficient,1984-09-02,1985-09-02,,Migrate,@On Premise,
1268e676-7c46-48ce-ad00-6109c2a68306,DOH Information Technology General Research and Strategy,Health (Dept) / Administrative Services Office,,Government Wide Support / Information Technology / Enterprise Applications,administrativeService,adequate,adequate,,2018-03-09,,Invest,,
cad5fdcb-a619-4e5d-b981-ccd13e70f5cb,KUALI,University of Hawaii,,Government Wide Support / Financial Management / Comprehensive or Multi-Purpose FMS,businessCritical,adequate,adequate,,2019-01-01,,Invest,,Major Information Systems
fbd6c283-81ac-4da6-9f1d-30cbe9ab55c9,MFI Morpho Face Investigate,Attorney General (Dept) / Hawaii Criminal Justice Data Center,ABIS - Automated Biometric Identification System,Department Budget Areas / Public Safety,missionCritical,adequate,insufficient,,,,Migrate,,
6b71aa5b-4455-48ba-8510-9398b4812434,Statewide Automated Victim Information Notification (SAVIN),Public Safety (Dept) / Corrections Division,,Department Budget Areas / Public Safety,businessCritical,adequate,adequate,,2010-01-01,,Invest,SaaS,
d8a9183f-82ce-437d-8ac6-08807779d64a,PVL - License Search,Commerce & Consumer Affairs (Dept) / Professional & Vocational Licensing Division,,Customer/Citizen Relationships / Self Service,businessCritical,adequate,adequate,,2001-02-01,,Invest,Co-Located,
7394a117-c239-462c-80c0-ca10fdc6af29,Blackboard Connect,Defense (Dept) / Hawaii Emergency Management Agency,,,missionCritical,adequate,excellent,,2016-09-28,,Invest,@On Premise,
1cedf634-a1f8-4419-84c0-23ab053e31a4,Vehicle Inspection and Personnel Electronic Registration System (VIPERS),Transportation (Dept) / Harbors Division,,Department Budget Areas / Transportation / Transportation Operations,businessCritical,excellent,excellent,,2018-12-27,,Invest,,
af2b392d-46ac-4bf5-9e51-9edb8f24e0ba,INS - License Search,Commerce & Consumer Affairs (Dept) / Insurance Division,,Customer/Citizen Relationships / Self Service,businessCritical,adequate,adequate,,2001-01-01,,Invest,Co-Located,
a018b448-9acc-4059-aa8e-0f06d5e89082,HiMod PeopleSoft HRMS,Accounting & General Services (Dept) / Accounting Division,,Government Wide Support / Human Resources,missionCritical,adequate,adequate,,2019-01-01,,Invest,Co-Located,Major Information Systems
ff9441ca-7094-4ffb-a109-92ed7ea16521,HiMod Time and Leave Management,Accounting & General Services (Dept) / Accounting Division,,Government Wide Support / Financial Management / Time & Leave Management,businessCritical,excellent,excellent,2018-07-02,2020-10-01,,Invest,,Major Information Systems
f3ae4b67-6c3f-4c73-aa52-bd87c36d69c6,geoportal.hawaii.gov,"Business, Economic Dev & Tourism (Dept) / Office of Planning",,Government Wide Support / Information Technology / Enterprise Applications,businessCritical,adequate,adequate,2015-09-01,2019-01-01,,Invest,Co-Located,
269aebe2-98ce-4eff-95b1-46d19c4883ff,my.hawaii.gov,Enterprise Technology Services / Technology Support Services Branch,,Customer/Citizen Relationships / Self Service,businessCritical,insufficient,excellent,,2019-01-01,,Tolerate,IaaS,
294e0b24-bc89-44de-9a1e-cd3c56cc2ac7,PVL - Bulk License Download,Commerce & Consumer Affairs (Dept) / Professional & Vocational Licensing Division,,Customer/Citizen Relationships / Self Service,businessCritical,adequate,insufficient,,2010-12-31,,Migrate,Co-Located,
2f3c76fc-1607-448c-88b1-f4f3c4d9fc39,Crime Victim Compensation Commission,Public Safety (Dept),,Department Budget Areas / Public Safety,businessCritical,adequate,excellent,,2013-01-01,,Invest,Co-Located,
fc04e860-085b-4205-ab59-059f1863ff99,Veterinary Laboratory Information System,Agriculture (Dept) / Animal Industry,,Department Budget Areas / Economic Development,businessCritical,adequate,adequate,,,2023-11-02,Invest,@On Premise,
c8aaf329-330b-41e6-b7a6-f206f6eaf2ce,Archives Greenstone,Accounting & General Services (Dept) / Archives Division,,Government Wide Support / Information Technology / Document Management,businessCritical,adequate,insufficient,,2020-01-01,,Migrate,PaaS,
ec70359f-e24b-4f5c-b800-9d6d39c9e5a1,Clinical Works,Public Safety (Dept) / Corrections Division,,Department Budget Areas / Public Safety,missionCritical,insufficient,insufficient,,2005-01-01,,Migrate,@On Premise,
8daa75a0-a618-4d2f-97f9-181cfcab28fe,AIR ANOMS,Transportation (Dept) / Airports Division,,Department Budget Areas / Transportation,businessCritical,adequate,excellent,,2002-02-01,,Invest,SaaS,
30783d5f-31ab-4614-80d7-d6fbda5c5740,Child Protective Services (CPSS) Case Management System,Human Services (Dept) / Social Services Division,,Department Budget Areas / Social Services / Child Welfare - Case Management,missionCritical,insufficient,insufficient,,1990-01-01,2023-01-01,Migrate,@On Premise,
17d2981c-75de-4bcd-a716-b7a8ee9a1df9,Records Reporting System,Accounting & General Services (Dept) / Office of Information Practices,,Department Budget Areas / Individual Rights,businessCritical,adequate,adequate,,,,Invest,,
40681eb8-6540-426a-8f3c-c32267b33c65,NOTARY - Notary Application,Attorney General (Dept) / Civil Recoveries Division,,Customer/Citizen Relationships / Self Service,missionCritical,excellent,excellent,,2013-07-09,,Invest,IaaS,
f1e37fa2-df8c-46a9-aee3-16922655647e,CIDS/PHIMS,Transportation (Dept) / Harbors Division,Port Hawaii Information Management System (PHIMS) Modernization,Department Budget Areas / Transportation,businessCritical,adequate,adequate,2016-12-09,,,Invest,,
f933b1b7-3ecf-46fd-beb0-c73c5b068dd7,CSEA Website - https://csea.ehawaii.gov,Attorney General (Dept) / Child Support Enforcement Agency,,Customer/Citizen Relationships / Self Service,businessCritical,adequate,adequate,,2008-03-18,,Invest,Co-Located,
107c93ed-b751-4c9a-93f1-2ed05f175c47,AIR AIRFAMIS,Transportation (Dept) / Airports Division,,Government Wide Support / Financial Management / Financial Reporting,businessCritical,adequate,excellent,,2019-01-01,2023-01-01,Invest,SaaS,
d2364a01-5ca5-4ec1-89a2-40250b032f02,"Agriculture Resource Management
Information System (ARMIS)",Agriculture (Dept) / Agricultural Resource Management,,Department Budget Areas / Environmental Protection,businessCritical,adequate,adequate,,,2021-11-01,Invest,@On Premise,
2d20c7bf-8032-4946-ab61-afe57d4e0bd6,ASO APPX,Agriculture (Dept) / Administrative Services Office,,,businessCritical,adequate,adequate,,,2021-11-01,Invest,@On Premise,
